iter	Accuracy	MultiClass
101	0.4692474548	1.233129155
102	0.4706643809	1.232574212
103	0.4716964629	1.231936383
104	0.4715740125	1.231228948
105	0.471888885	1.230658873
106	0.472308715	1.229968079
107	0.4723786866	1.229302185
108	0.4728684883	1.228737331
109	0.4729909387	1.228005622
110	0.4730609103	1.22750587
111	0.4732883182	1.227115581
112	0.4738830774	1.226524862
113	0.4740580065	1.22581638
114	0.474582794	1.225284715
115	0.4747402302	1.224643928
116	0.4757373264	1.22426275
117	0.4763670713	1.223644513
118	0.4772242242	1.222996248
119	0.4771717454	1.222551599
120	0.4779764196	1.22201744
121	0.4778714621	1.221499933
122	0.4784312353	1.220999486
123	0.4786936291	1.22058657
124	0.4787985866	1.219994957
125	0.4788335724	1.219472281
126	0.4788335724	1.2191082
127	0.4796032607	1.218605748
128	0.4798306686	1.217979841
129	0.4802504985	1.217513704
130	0.4801980198	1.216917617
131	0.4801980198	1.216444882
132	0.480355456	1.215733726
133	0.4803204702	1.215188722
134	0.4805478781	1.214690837
135	0.4809502152	1.214289603
136	0.4804079348	1.213792569
137	0.4811426372	1.213321863
138	0.4814575097	1.212903165
139	0.4819997901	1.212355983
140	0.4821222405	1.211832034
141	0.482437113	1.211411875
142	0.4825595634	1.211079308
143	0.4828044642	1.210398449
144	0.4831193367	1.210044424
145	0.4841689116	1.209469512
146	0.4848511353	1.208798156
147	0.4852184865	1.208309072
148	0.4850435574	1.207875699
149	0.4849910786	1.207361438
150	0.4852534723	1.206969998
151	0.4854808802	1.206431422
152	0.4857782598	1.206043489
153	0.4865129623	1.205565249
154	0.4865479481	1.205028188
155	0.4875275513	1.204563063
156	0.4879298884	1.204153303
157	0.4879648742	1.203773185
158	0.4883497184	1.203274707
159	0.4885421404	1.202885646
160	0.4892768429	1.202499782
161	0.4896791799	1.201927727
162	0.4906762761	1.201495009
163	0.4907287549	1.20106827
164	0.4911310919	1.200616782
165	0.4917958227	1.200338626
166	0.4916908652	1.199828849
167	0.4926004968	1.199438139
168	0.4928279047	1.198941355
169	0.4928104118	1.19852266
170	0.492967848	1.19806679
171	0.4932127488	1.197737437
172	0.4935101284	1.197260888
173	0.4933701851	1.196811101
174	0.4938424938	1.196297525
175	0.4941398734	1.195829885
176	0.4942798167	1.195406111
177	0.4948570829	1.194876538
178	0.4949270545	1.194577342
179	0.495032012	1.194092576
180	0.4951719554	1.193715935
181	0.4951019837	1.193243505
182	0.4952944058	1.192865667
183	0.4955043208	1.192346607
184	0.4960466011	1.191905984
185	0.4962565161	1.19145393
186	0.4970262044	1.191015612
187	0.4979533289	1.190566983
188	0.4980757793	1.190263534
189	0.4982332155	1.189857009
190	0.4981982297	1.189519758
191	0.4983031872	1.189084637
192	0.4988629605	1.188777265
193	0.4989504251	1.188463393
194	0.4992827905	1.188030899
195	0.4994752125	1.187557026
196	0.4997376063	1.187167275
197	0.5000174929	1.186810713
198	0.5001924221	1.186297426
199	0.5007871812	1.185838259
200	0.5008396599	1.185478684
201	0.5012944757	1.185095239
202	0.5014694049	1.184562427
203	0.5024315152	1.184086074
204	0.502274079	1.183642258
205	0.5027988665	1.18310978
206	0.502903824	1.182786021
207	0.5029737956	1.182430484
208	0.5030612602	1.182083496
209	0.5031137389	1.181596936
210	0.503096246	1.181029664
211	0.5036385264	1.180415396
212	0.5038659343	1.180068876
213	0.504338243	1.1797124
214	0.5044606934	1.179174455
215	0.5045306651	1.178804131
216	0.5044606934	1.178506405
217	0.504950495	1.17799464
218	0.504950495	1.177456318
219	0.5049854809	1.177056286
220	0.5051254242	1.176613466
221	0.5053003534	1.176238491
222	0.5051429171	1.175613689
223	0.5053353392	1.175049278
224	0.5058951125	1.174464016
225	0.5061400133	1.173951787
226	0.5064723787	1.173464698
227	0.5069271945	1.173132189
228	0.5070496449	1.172719069
229	0.5069796732	1.172109697
230	0.5077843473	1.171477195
231	0.5083266277	1.170906685
232	0.508466571	1.170455821
233	0.508886401	1.169914606
234	0.5089913585	1.169278042
235	0.5091662877	1.168774849
236	0.5093936956	1.168392486
237	0.5095861176	1.167914346
238	0.5098834972	1.167251703
239	0.5101983697	1.166713042
240	0.5103732988	1.166320846
241	0.5104607634	1.165810898
242	0.5107756359	1.16528992
243	0.5110205367	1.164787447
244	0.511370395	1.164207214
245	0.5120701116	1.163672993
246	0.5117027604	1.163100362
247	0.5122100549	1.162504599
248	0.512612392	1.162088775
249	0.5126648707	1.161549194
250	0.5131546724	1.160951462
251	0.5134520519	1.160428107
252	0.5137494315	1.159722969
253	0.5141517685	1.159171354
254	0.5143616835	1.158566156
255	0.5146065843	1.158061729
256	0.5146065843	1.157502197
257	0.5148514851	1.156951685
258	0.5155861876	1.1564227
259	0.5156736522	1.155968501
260	0.5160410034	1.155518868
261	0.5160235105	1.154878407
262	0.5164433404	1.15417945
263	0.5166882413	1.15355107
264	0.5168106917	1.152993514
265	0.5170031137	1.152403425
266	0.517562887	1.151927659
267	0.5177378162	1.151466858
268	0.5180701816	1.150962491
269	0.5184725186	1.150476827
270	0.5185599832	1.149962978
271	0.5188223769	1.149388964
272	0.5188398699	1.148692499
273	0.5192596998	1.148256499
274	0.5193996431	1.147699552
275	0.5198719519	1.147155155
276	0.5200993598	1.146649923
277	0.5198719519	1.146143997
278	0.520046881	1.145652882
279	0.5202043173	1.145149921
280	0.5206066543	1.144642278
281	0.520869048	1.144077465
282	0.5210614701	1.143609224
283	0.5217262009	1.143080351
284	0.521918623	1.142548412
285	0.5228457475	1.142049523
286	0.5231081412	1.141552757
287	0.5236679145	1.141194554
288	0.5233180562	1.140743825
289	0.5234405066	1.140270162
290	0.524175209	1.139758337
291	0.5245425603	1.139272238
292	0.5248749257	1.13881575
293	0.5253997131	1.138341866
294	0.5259944722	1.137822798
295	0.5260644439	1.137415544
296	0.5256096281	1.136935156
297	0.5257845573	1.136488448
298	0.5262918518	1.13601714
299	0.5269565826	1.135556192
300	0.5272014834	1.13509767
301	0.52748137	1.134619273
302	0.5278662142	1.133993631
303	0.5282685512	1.133600621
304	0.5285484379	1.133233989
305	0.5287933387	1.13278206
306	0.5290032537	1.132341904
307	0.5297204632	1.131766158
308	0.5300703215	1.131335267
309	0.5300353357	1.130797738
310	0.5300878144	1.130380212
311	0.530175279	1.129877967
312	0.5303502082	1.129468824
313	0.5306126019	1.12911983
314	0.5309624602	1.128630859
315	0.5311198964	1.128200994
316	0.5311898681	1.127750108
317	0.5314522618	1.127288676
318	0.5319420635	1.12682801
319	0.5320994997	1.126350866
320	0.5325543155	1.125992933
321	0.5329741455	1.12554093
322	0.5332190463	1.125065306
323	0.5336213833	1.124721536
324	0.5336563692	1.12429736
325	0.5339887346	1.123962448
326	0.5343385929	1.12368243
327	0.534513522	1.123272817
328	0.5352307316	1.122922595
329	0.5355281111	1.122538992
330	0.5356505615	1.122002056
331	0.5358604765	1.121594725
332	0.5362628136	1.121229518
333	0.5364027569	1.120883868
334	0.5366651506	1.120455343
335	0.5365427002	1.120061953
336	0.536385264	1.119561325
337	0.5369100514	1.119197188
338	0.5371024735	1.118912516
339	0.5371199664	1.118518043
340	0.5374698247	1.118222035
341	0.5374523318	1.117814501
342	0.537609768	1.11745791
343	0.5380995697	1.117018678
344	0.5382045272	1.116630103
345	0.5383619634	1.116069617
346	0.5387992863	1.115714645
347	0.5389917084	1.115277527
348	0.5393765525	1.114824189
349	0.5397788895	1.114499348
350	0.5402162124	1.114165024
351	0.5402337053	1.113758643
352	0.5402511983	1.113447979
353	0.5404786062	1.113153184
354	0.5408284645	1.112799006
355	0.540723507	1.112528358
356	0.5405485778	1.112058135
357	0.5409509149	1.111724008
358	0.5412832803	1.111443659
359	0.5417031102	1.111143329
360	0.541965504	1.110607417
361	0.5419829969	1.110275688
362	0.5421229402	1.109902502
363	0.5422278977	1.109453521
364	0.5424727985	1.109037815
365	0.542997586	1.108661409
366	0.5431375293	1.108317481
367	0.5434524018	1.10788094
368	0.5438372459	1.107553359
369	0.5442920617	1.10717831
370	0.5443795263	1.10688824
371	0.5444844838	1.106604531
372	0.54464192	1.106322076
373	0.5449218067	1.106030542
374	0.5453591296	1.105633904
375	0.5453416366	1.105225734
376	0.5453766225	1.104837501
377	0.5456914949	1.104438429
378	0.5458489312	1.10408634
379	0.546303747	1.103772747
380	0.5465311549	1.103337483
381	0.5468985061	1.102985326
382	0.5468985061	1.102726509
383	0.5470909282	1.102353467
384	0.5475982227	1.102082665
385	0.5479830669	1.101749401
386	0.5482629535	1.101420646
387	0.5482454606	1.101033369
388	0.5484378827	1.100765096
389	0.5486827835	1.100347692
390	0.5491026134	1.100080737
391	0.5494349788	1.099814007
392	0.5495224434	1.099554127
393	0.5496973726	1.099156514
394	0.5496623867	1.098777985
395	0.5499947521	1.098474673
396	0.5500647238	1.098178941
397	0.5504145821	1.097805752
398	0.5505195396	1.09739833
399	0.5509218766	1.09704261
400	0.5507994262	1.09672198
401	0.5512017633	1.096467666
402	0.5513941854	1.096174849
403	0.5518140153	1.095859868
404	0.5521113949	1.095493469
405	0.5527936186	1.095230716
406	0.5528810832	1.094908191
407	0.5531609698	1.094527722
408	0.5534058706	1.094221616
409	0.5531609698	1.093853805
410	0.5535108281	1.093620053
411	0.5533708848	1.093337291
412	0.5536857573	1.09302958
413	0.5544379526	1.092648078
414	0.5546478676	1.092409276
415	0.5549977259	1.092156838
416	0.5553650771	1.091902076
417	0.5556274709	1.091604428
418	0.5556624567	1.091346888
419	0.5562397229	1.09098246
420	0.5564671308	1.09069733
421	0.5565895812	1.090468412
422	0.5565720883	1.090110735
423	0.5566945387	1.089887352
424	0.556851975	1.089558599
425	0.5571143687	1.089330298
426	0.5571493545	1.089043466
427	0.5570793828	1.088721645
428	0.5573242837	1.088450214
429	0.5574292412	1.088214258
430	0.5575516916	1.087945559
431	0.5577616065	1.087737491
432	0.5581639436	1.087483914
433	0.5582689011	1.087172805
434	0.5586187594	1.086903468
435	0.5587936886	1.086635789
436	0.5589861106	1.086373299
437	0.5594584193	1.086048679
438	0.5599132351	1.085802714
439	0.5602805864	1.085533267
440	0.5603855439	1.085268672
441	0.5605079943	1.08488615
442	0.5605254872	1.084611098
443	0.5602456005	1.084339058
444	0.5604030368	1.084138388
445	0.560770388	1.083833422
446	0.5608053738	1.083580921
447	0.5609628101	1.083299931
448	0.5612077109	1.082888556
449	0.5611552321	1.082555521
450	0.5612601896	1.082325351
451	0.5615225834	1.082048344
452	0.5617150054	1.081866525
453	0.5617150054	1.081559728
454	0.5620298779	1.081291973
455	0.5623797362	1.080987012
456	0.5623447504	1.080679601
457	0.5623622433	1.080402612
458	0.5627121016	1.080144201
459	0.5627995662	1.079878983
460	0.5629395095	1.079680031
461	0.5631494245	1.079379208
462	0.563446804	1.079112629
463	0.563656719	1.078860488
464	0.5640065773	1.078584257
465	0.5641465207	1.078290248
466	0.5641815065	1.07810526
467	0.5641989994	1.077737699
468	0.5644264073	1.077517287
469	0.5645313648	1.077231081
470	0.564688801	1.076974304
471	0.5646538152	1.076748864
472	0.5648112514	1.076520123
473	0.5648462373	1.076310367
474	0.5648637302	1.076086102
475	0.5651960956	1.075819289
476	0.5653885177	1.075510343
477	0.5655809397	1.075261975
478	0.5656509114	1.075019848
479	0.5659482909	1.074748718
480	0.5662281776	1.074452073
481	0.5663156422	1.074130658
482	0.5662631634	1.07386493
483	0.56696288	1.073625527
484	0.5671378092	1.073417385
485	0.56738271	1.073150449
486	0.567592625	1.072901699
487	0.567592625	1.072672472
488	0.5679774691	1.072333878
489	0.5684847637	1.072051784
490	0.5684322849	1.071817652
491	0.5686771857	1.071580213
492	0.5687821432	1.071354515
493	0.569236959	1.071064084
494	0.5694293811	1.070758753
495	0.5694818598	1.070494137
496	0.5697967323	1.070217953
497	0.5697442536	1.069961923
498	0.5697967323	1.069684584
499	0.5699366756	1.069467527
500	0.5699191827	1.069192296
501	0.5703565056	1.068969769
502	0.5704964489	1.068720693
503	0.5708113214	1.068428982
504	0.5709512647	1.068198173
505	0.5710912081	1.067975372
506	0.571301123	1.067754846
507	0.5715810097	1.067545952
508	0.5717384459	1.067325877
509	0.5718259105	1.067071769
510	0.5723856838	1.066840686
511	0.5723856838	1.066612305
512	0.5724731484	1.066359261
513	0.5726305846	1.066111947
514	0.5728230067	1.06587983
515	0.57296295	1.065628805
516	0.5727705279	1.065282373
517	0.5728404996	1.065043207
518	0.5732078508	1.064823172
519	0.5730854004	1.064604095
520	0.5734002729	1.06439516
521	0.5736276808	1.064133157
522	0.5738201029	1.063893076
523	0.5738900745	1.063573569
524	0.5740999895	1.063274386
525	0.5743973691	1.063039866
526	0.5742574257	1.062728263
527	0.5745023266	1.062416733
528	0.574414862	1.062159047
529	0.5746422699	1.061958852
530	0.574607284	1.061645862
531	0.5746597628	1.061400424
532	0.5745897911	1.061191058
533	0.5747997061	1.060888652
534	0.5748696778	1.060708393
535	0.575237029	1.060432576
536	0.5755169156	1.060210883
537	0.575656859	1.059945713
538	0.5757443235	1.059699391
539	0.5758317881	1.05951073
540	0.5760067173	1.05930844
541	0.5763215898	1.059099356
542	0.5767589126	1.058863132
543	0.577091278	1.058643813
544	0.5772312214	1.058425611
545	0.5772487143	1.058272524
546	0.5778784592	1.058077903
547	0.5781758388	1.057861782
548	0.5782283175	1.05765759
549	0.5785082042	1.057511812
550	0.5787705979	1.057207367
551	0.5789280341	1.057058122
552	0.5790504846	1.056819685
553	0.5793128783	1.056583675
554	0.579365357	1.056398684
555	0.5794003429	1.056229915
556	0.5794703145	1.056046026
557	0.5796102578	1.055824809
558	0.579785187	1.055641072
559	0.579995102	1.055407526
560	0.5799776091	1.055151002
561	0.5800650736	1.054961312
562	0.5800475807	1.054724495
563	0.579995102	1.054506554
564	0.5803274674	1.054245303
565	0.5804499178	1.053980324
566	0.5806423399	1.053779552
567	0.5805723682	1.053582491
568	0.5806248469	1.053380838
569	0.5808522548	1.053219356
570	0.5809572123	1.05303093
571	0.5811321415	1.052766925
572	0.5814994927	1.052545703
573	0.5816569289	1.052341791
574	0.5819193227	1.052173041
575	0.5820242802	1.051981542
576	0.5821817164	1.05175559
577	0.5823041668	1.0515582
578	0.5826190393	1.051317031
579	0.5827239968	1.051138922
580	0.5827764755	1.050946731
581	0.5829863905	1.050799862
582	0.5831613197	1.050574248
583	0.5830563622	1.050388128
584	0.5832312913	1.050159449
585	0.5833887276	1.049965166
586	0.5837910646	1.049787907
587	0.5838785292	1.049627143
588	0.5840184725	1.049427006
589	0.5844907812	1.049230776
590	0.5843858237	1.048986676
591	0.58454326	1.048750595
592	0.584735682	1.04854715
593	0.5846832033	1.048331511
594	0.5851904978	1.048095513
595	0.5850330616	1.047883975
596	0.5849281041	1.047647885
597	0.5851380191	1.047350135
598	0.5852954553	1.047197924
599	0.5853129483	1.047022084
600	0.5854353987	1.046794627
601	0.5855228632	1.04655272
602	0.5856103278	1.046409647
603	0.5858027499	1.046236164
604	0.5858552286	1.04605452
605	0.5860476507	1.045749735
606	0.5862575657	1.045599367
607	0.5866249169	1.045342501
608	0.5868348319	1.045176165
609	0.5871147185	1.044963194
610	0.5876919847	1.044784776
611	0.587849421	1.044632019
612	0.5878144352	1.044416767
613	0.587849421	1.044243362
614	0.5879018997	1.044039357
615	0.5881817864	1.043854988
616	0.5882167722	1.043687499
617	0.5885666305	1.043470529
618	0.5887065738	1.043245623
619	0.5887765455	1.043070726
620	0.5888640101	1.042823518
621	0.5888290242	1.042588173
622	0.5887940384	1.042429646
623	0.589091418	1.042240454
624	0.5889864605	1.042016026
625	0.5891264038	1.041792008
626	0.5893887975	1.041623361
627	0.5894762621	1.041429806
628	0.5896336984	1.041253897
629	0.5897911346	1.041102367
630	0.5901759787	1.040849036
631	0.5904033866	1.040688398
632	0.5907007662	1.040447277
633	0.5907882308	1.040311874
634	0.5908232166	1.040055975
635	0.5908057237	1.039863206
636	0.5908232166	1.039653303
637	0.5911031032	1.039360918
638	0.5911905678	1.039201353
639	0.5912430466	1.038983033
640	0.5912780324	1.038743503
641	0.5914354686	1.038565592
642	0.5914704545	1.038397709
643	0.591575412	1.038209657
644	0.5918028199	1.038071982
645	0.5919602561	1.037839617
646	0.5922051569	1.037613008
647	0.5923800861	1.037494333
648	0.5924325648	1.037282043
649	0.5924325648	1.037004584
650	0.5924325648	1.036815676
651	0.5925550152	1.036646727
652	0.592590001	1.036442058
653	0.5927649302	1.036269402
654	0.5928873806	1.036105123
655	0.5928698877	1.03593785
656	0.5928698877	1.035741349
657	0.5930273239	1.035501452
658	0.5932897177	1.035294247
659	0.593831998	1.035006229
660	0.5942168422	1.034730432
661	0.5942343351	1.034587442
662	0.5943567855	1.034450832
663	0.594671658	1.034281572
664	0.5947591226	1.0341269
665	0.5947941084	1.033954639
666	0.5948990659	1.033798851
667	0.5950040234	1.033643969
668	0.5951439667	1.033467147
669	0.5951964454	1.033309036
670	0.5954413463	1.033089038
671	0.5954588392	1.032960135
672	0.5956862471	1.032788598
673	0.59570374	1.032569278
674	0.5955113179	1.032403931
675	0.5958086975	1.032254798
676	0.5957737116	1.032124965
677	0.596106077	1.031897258
678	0.5964384424	1.031749689
679	0.5965958787	1.031536189
680	0.5966658503	1.031375675
681	0.5967883007	1.031235979
682	0.5969632299	1.031038451
683	0.5969807228	1.03091125
684	0.5970681874	1.030762693
685	0.5971206661	1.030592576
686	0.5971031732	1.030463379
687	0.5971731449	1.030263239
688	0.5973655669	1.030079457
689	0.597557989	1.029932175
690	0.5973830599	1.029727652
691	0.5974880174	1.02957792
692	0.597557989	1.029349258
693	0.5976104678	1.029185868
694	0.5977504111	1.02906022
695	0.5978903544	1.028866862
696	0.5977504111	1.028674933
697	0.5977504111	1.028498792
698	0.5977853969	1.028346065
699	0.5980827765	1.028140649
700	0.5982751985	1.027961639
701	0.5984851135	1.027747402
702	0.5984676206	1.027548372
703	0.5985200994	1.02737186
704	0.5985725781	1.027210984
705	0.5988699577	1.027029659
706	0.5988699577	1.026881445
707	0.5990448868	1.026722211
708	0.5991323514	1.026537657
709	0.5993597593	1.026400627
710	0.5994472239	1.026259994
711	0.5994997026	1.026066776
712	0.599622153	1.025844406
713	0.5996921247	1.02569452
714	0.5999020397	1.025530261
715	0.5998495609	1.025397852
716	0.5997970822	1.025249104
717	0.5997271105	1.025054464
718	0.5997620964	1.024830244
719	0.5998495609	1.024675327
720	0.5998670538	1.024529205
721	0.599832068	1.024394595
722	0.5998495609	1.024256337
723	0.6000069972	1.024047249
724	0.6000594759	1.023915244
725	0.6002693909	1.023785684
726	0.6003218696	1.023583691
727	0.6003918413	1.023468198
728	0.6004967988	1.023285513
729	0.6005492775	1.023124329
730	0.6006892209	1.022959233
731	0.6007591925	1.022845327
732	0.6007941784	1.022733011
733	0.6011090508	1.022591494
734	0.6011790225	1.022482717
735	0.6013714446	1.022341302
736	0.6014064304	1.022201448
737	0.6015638666	1.021993341
738	0.6017213029	1.021814586
739	0.601896232	1.021672292
740	0.6019137249	1.021547101
741	0.6018262604	1.021343969
742	0.6019312179	1.021146554
743	0.6020011895	1.020974276
744	0.6020361753	1.020751363
745	0.6022111045	1.020547094
746	0.6022285974	1.020344311
747	0.6023510478	1.020160187
748	0.6023860337	1.019973713
749	0.6025784557	1.019766316
750	0.6026484274	1.019660835
751	0.6027708778	1.019536998
752	0.6027883707	1.019435651
753	0.602718399	1.019231309
754	0.6029108211	1.019027892
755	0.6028933282	1.018804522
756	0.6030857503	1.018653254
757	0.6030507644	1.018499433
758	0.602928314	1.018306736
759	0.6030332715	1.018104997
760	0.6030157786	1.01795233
761	0.6032956653	1.017797137
762	0.6033656369	1.01765455
763	0.6032606794	1.017536339
764	0.6033656369	1.017419727
765	0.6033831298	1.017221177
766	0.6035930448	1.017096588
767	0.6037504811	1.016957351
768	0.6037504811	1.01682738
769	0.603977889	1.016673441
770	0.604170311	1.016505747
771	0.6041353252	1.016332011
772	0.6044676906	1.016189251
773	0.6045726481	1.016063085
774	0.604590141	1.015953405
775	0.604590141	1.015837292
776	0.6048175489	1.015663594
777	0.6049225064	1.015476012
778	0.6051149285	1.015286739
779	0.6050799426	1.015136067
780	0.6054298009	1.014961194
781	0.6057271805	1.014815348
782	0.6057621663	1.014655632
783	0.6059021096	1.014543481
784	0.6059720813	1.014398087
785	0.6060945317	1.014169485
786	0.6062169821	1.013959689
787	0.6062869538	1.013738
788	0.6063569254	1.0135723
789	0.6063744184	1.013430135
790	0.6064618829	1.013291076
791	0.60644439	1.013116055
792	0.6064268971	1.012980569
793	0.6063919113	1.012831877
794	0.6065493475	1.012674345
795	0.6065493475	1.012545564
796	0.6067067838	1.012339493
797	0.6067942483	1.012197603
798	0.6068992058	1.012081671
799	0.6069341917	1.011974782
800	0.6070916279	1.011813799
801	0.6071615996	1.011679295
802	0.6071965854	1.011498965
803	0.6074939649	1.011312364
804	0.6077213728	1.011164272
805	0.6078438233	1.011026559
806	0.6080012595	1.010912784
807	0.6081237099	1.010774174
808	0.6082811461	1.010584647
809	0.6083861036	1.010420156
810	0.608526047	1.010281277
811	0.6085610328	1.010146714
812	0.6085610328	1.010005479
813	0.6086310044	1.009835201
814	0.6087709478	1.00967858
815	0.6089633698	1.00950613
816	0.6090508344	1.009337307
817	0.6093657069	1.009191064
818	0.609540636	1.009072711
819	0.6095931148	1.008849676
820	0.6096281006	1.008713194
821	0.6096630864	1.00853093
822	0.6100129448	1.008355705
823	0.6101528881	1.008203082
824	0.6102578456	1.008022037
825	0.6103278172	1.0078161
826	0.6104152818	1.007645422
827	0.6105377322	1.007476448
828	0.6109400693	1.007290247
829	0.6109050834	1.007161562
830	0.610992548	1.00704764
831	0.6111324913	1.006842284
832	0.6112199559	1.006711561
833	0.6113598992	1.006574982
834	0.611412378	1.006450828
835	0.6117797292	1.006243425
836	0.611832208	1.00612718
837	0.611832208	1.006008338
838	0.6121120946	1.005773163
839	0.6121820663	1.005631029
840	0.6122520379	1.005527105
841	0.6123045167	1.005364235
842	0.6124094742	1.005197489
843	0.6124794458	1.005031408
844	0.6125669104	1.004914868
845	0.6125669104	1.004740263
846	0.6126718679	1.004633072
847	0.612654375	1.004515475
848	0.6127418396	1.004417776
849	0.6126368821	1.004206535
850	0.6127243466	1.00410397
851	0.6128817829	1.003968683
852	0.6129517545	1.003802665
853	0.6129692475	1.003658891
854	0.6129517545	1.003546837
855	0.6130217262	1.00330741
856	0.6130916979	1.003181426
857	0.6131091908	1.003037516
858	0.6130742049	1.002818242
859	0.6132141483	1.002699745
860	0.6133365987	1.00256403
861	0.6136164853	1.002442856
862	0.6137039499	1.002342796
863	0.6138089074	1.002213519
864	0.6141587657	1.001973708
865	0.6142112444	1.001874883
866	0.6145436098	1.001757259
867	0.6146310744	1.001659517
868	0.6145960886	1.001453497
869	0.6147535248	1.001328216
870	0.6148060036	1.001138266
871	0.6149809327	1.000915672
872	0.6150509044	1.000692543
873	0.6152433265	1.000498964
874	0.615330791	1.000404222
875	0.6154182556	1.000305217
876	0.6155581989	1.000109432
877	0.615540706	0.9999520619
878	0.6155581989	0.9998171406
879	0.6156106777	0.9996524613
880	0.6156981423	0.9995531392
881	0.6157856068	0.9994121639
882	0.6157856068	0.9993017052
883	0.6158380856	0.9991131073
884	0.6159430431	0.9989353465
885	0.6160829864	0.9988475212
886	0.6160305076	0.9986610927
887	0.6161354651	0.9985495437
888	0.6163453801	0.998362113
889	0.6164328447	0.9982571845
890	0.6165552951	0.9981223425
891	0.6166602526	0.9980071038
892	0.6169401392	0.9979010814
893	0.6169576322	0.9977595478
894	0.6170975755	0.9975726587
895	0.6171150684	0.997440819
896	0.6171325613	0.9973265579
897	0.6171850401	0.9972108111
898	0.6173074905	0.9971130293
899	0.6174824196	0.997009002
900	0.6174999125	0.9968072502
901	0.6175873771	0.9966887948
902	0.6176398559	0.9965603776
903	0.6177623063	0.9964693451
904	0.6177972921	0.9963533814
905	0.6178497708	0.99619157
906	0.6179197425	0.9960800349
907	0.6181121646	0.9959903981
908	0.6182521079	0.995842079
909	0.6183395725	0.9956906076
910	0.6183745583	0.9955732186
911	0.6183570654	0.9954776957
912	0.6185494875	0.995321993
913	0.6187419095	0.9951946524
914	0.6187768954	0.9950745126
915	0.6188118812	0.9949719572
916	0.6188293741	0.9948920964
917	0.6189693174	0.9947623483
918	0.6191267537	0.9946542158
919	0.6192317112	0.9945046285
920	0.6194066403	0.9943685784
921	0.619476612	0.994219949
922	0.6195465836	0.9940961428
923	0.6197040199	0.9939743458
924	0.6197215128	0.9938321609
925	0.6198439632	0.9936515213
926	0.6198439632	0.9935231738
927	0.6198089774	0.9933989743
928	0.6198264703	0.9932658995
929	0.6199664136	0.9931000171
930	0.620088864	0.9929950871
931	0.6201238498	0.9928236175
932	0.6201763286	0.9926439527
933	0.6202113144	0.9925213426
